Date,Country_Code,No_Of_Confirmed,New_Confirmed,No_Of_Death,New_Death,Total_Recovered,Active_Cases,Serious_Critical,Total_Cases_1M_pop,Death_Cases_1M_pop,Test_1M pop,Proviance_Code,System_Date
28-04-2020,Gabon,211.0,,3.0,,43.0,165.0,1.0,724.0,1.0,325.0,Africa,1588052500957
28-04-2020,Congo,207.0,,8.0,,19.0,180.0,,,1.0,,Africa,1588052500957
28-04-2020,Rwanda,207.0,,,,93.0,114.0,,6959.0,,537.0,Africa,1588052500957
28-04-2020,Faeroe Islands,187.0,,,,178.0,9.0,,6588.0,,134826.0,Europe,1588052500957
28-04-2020,Martinique,175.0,,14.0,,77.0,84.0,7.0,,37.0,,North America,1588052500957
28-04-2020,Guadeloupe,149.0,,12.0,,82.0,55.0,11.0,,30.0,,North America,1588052500957
28-04-2020,Myanmar,146.0,,5.0,,16.0,125.0,,6987.0,0.09,128.0,Asia,1588052500957
28-04-2020,Gibraltar,141.0,,,,131.0,10.0,,2198.0,,65240.0,Europe,1588052500957
28-04-2020,Brunei ,138.0,,1.0,,124.0,13.0,2.0,13149.0,2.0,30056.0,Asia,1588052500957
28-04-2020,Liberia,133.0,9.0,16.0,4.0,25.0,92.0,,,3.0,,Africa,1588052500957
28-04-2020,Madagascar,128.0,,,,75.0,53.0,1.0,2357.0,,85.0,Africa,1588052500957
28-04-2020,Ethiopia,124.0,,3.0,,50.0,71.0,,14588.0,0.03,127.0,Africa,1588052500957
28-04-2020,Cambodia,122.0,,,,119.0,3.0,1.0,11721.0,,701.0,Asia,1588052500957
28-04-2020,Trinidad and Tobago,116.0,,8.0,,59.0,49.0,,1532.0,6.0,1095.0,North America,1588052500957
28-04-2020,French Guiana,111.0,,1.0,,87.0,23.0,,,3.0,,South America,1588052500957
28-04-2020,Bermuda,110.0,,6.0,,44.0,60.0,10.0,1682.0,96.0,27008.0,North America,1588052500957
