State/Region,No. of facilities,Total no. of quaranitine people,Date,Remark
Kayin,35,3101,11/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 6 (10-4-2020)
Yangon,81,2763,11/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 6 (10-4-2020)
Mon,484,2670,11/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 6 (10-4-2020)
Shan (S),284,2510,11/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 6 (10-4-2020)
Ayeyarwaddy,416,2470,11/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 6 (10-4-2020)
Shan (N),268,1269,11/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 6 (10-4-2020)
Shan (E),26,1214,11/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 6 (10-4-2020)
Tanintharyi,228,1137,11/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 6 (10-4-2020)
Naypyitaw,6,1022,11/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 6 (10-4-2020)
Rakhine,129,846,11/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 6 (10-4-2020)
Kayar,17,76,11/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 6 (10-4-2020)
Chin,17,46,11/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 6 (10-4-2020)
Sagaing,6889,17266,12/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 7 (12-4-2020)
Magway,73,13980,12/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 7 (12-4-2020)
Bago,996,6027,12/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 7 (12-4-2020)
Kachin,268,5863,12/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 7 (12-4-2020)
Mandalay,933,5178,12/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 7 (12-4-2020)
Mon,484,2670,12/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 7 (12-4-2020)
Yangon,84,2598,12/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 7 (12-4-2020)
Shan (S),423,2005,12/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 7 (12-4-2020)
Kayin,35,1925,12/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 7 (12-4-2020)
Ayeyarwaddy,405,1613,12/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 7 (12-4-2020)
Shan (N),268,1269,12/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 7 (12-4-2020)
Shan (E),26,1214,12/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 7 (12-4-2020)
Tanintharyi,228,1110,12/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 7 (12-4-2020)
Naypyitaw,6,972,12/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 7 (12-4-2020)
Rakhine,129,846,12/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 7 (12-4-2020)
Kayar,17,69,12/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 7 (12-4-2020)
Chin,17,47,12/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 7 (12-4-2020)
Magway,73,13787,13/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 8 (13-4-2020)
Sagaing,1446,4820,13/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 8 (13-4-2020)
Kachin,277,6006,13/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 8 (13-4-2020)
Bago,873,5402,13/4/2020,Coronavirus Disease 2019 (COVID-19) Situation Report 8 (13-4-2020)
